,year,q,co2avg
0,2006,q3,156.105
1,2006,q4,69.95
2,2007,q2,104.38478260869564
3,2007,q3,111.74833333333332
4,2007,q4,55.12233333333334
5,2008,q1,17.639565217391304
6,2008,q2,86.99666666666667
7,2008,q3,152.2125
8,2008,q4,79.86222222222221
9,2009,q1,27.2375
10,2009,q2,107.9388888888889
11,2009,q3,104.74499999999999
12,2009,q4,80.175
13,2010,q2,79.16058823529411
14,2010,q3,102.44722222222224
15,2010,q4,53.97333333333333
16,2011,q2,161.29666666666665
17,2011,q3,286.39000000000004
18,2012,q2,72.28750000000001
19,2012,q3,154.63125
20,2012,q4,61.19
21,2013,q2,240.44500000000002
22,2013,q3,128.25000000000003
23,2013,q4,88.90166666666666
